# Capture histories exported from 'MRCH' 
# Sun May 16 10:22:13 a.m. 2021 
# Session ID Occasion Detector 
1 5 1 E4
1 9 1 A6
1 18 1 D6
1 23 1 A4
1 31 1 E2
1 39 1 F3
1 47 1 C3
1 50 1 C4
1 53 1 A6
1 58 1 B3
1 59 1 D4
1 64 1 A6
1 66 1 E4
1 67 1 B5
1 68 1 F6
1 70 1 B2
1 71 1 A1
1 73 1 F5
1 78 1 E3
1 81 1 B1
1 88 1 D3
1 90 1 F2
1 94 1 B4
1 97 1 A2
1 100 1 B4
1 104 1 C2
1 107 1 B1
1 114 1 C5
1 116 1 D4
1 117 1 F1
1 118 1 A2
1 120 1 E2
1 131 1 A6
1 139 1 C1
1 141 1 D1
1 142 1 D1
1 144 1 B1
1 154 1 A1
1 157 1 E2
1 158 1 E6
1 161 1 F4
1 164 1 A2
1 173 1 F5
1 175 1 A5
1 177 1 F1
1 178 1 F6
1 181 1 E3
1 182 1 F1
1 186 1 C1
1 187 1 A1
1 192 1 F2
1 198 1 B4
1 200 1 D4
1 203 1 F2
1 204 1 B1
1 208 1 B1
1 211 1 B5
1 212 1 F2
1 219 1 E4
1 223 1 F2
1 224 1 C6
1 228 1 D4
1 236 1 D6
1 237 1 A5
1 240 1 B3
1 241 1 A6
1 242 1 E1
1 252 1 C1
1 253 1 F3
1 260 1 D3
1 5 2 C4
1 18 2 D6
1 50 2 B5
1 88 2 D3
1 88 2 E2
1 100 2 B3
1 104 2 A2
1 114 2 A5
1 118 2 C2
1 154 2 C5
1 157 2 E2
1 186 2 E1
1 200 2 E4
1 211 2 A5
1 211 2 B5
1 242 2 D1
1 252 2 A1
1 5 3 F3
1 18 3 C5
1 50 3 B5
1 66 3 F6
1 100 3 C3
1 104 3 A4
1 114 3 B5
1 116 3 D4
1 154 3 E1
1 173 3 D3
1 200 3 E2
1 203 3 F1
1 228 3 B5
1 228 3 C4
1 237 3 B4
1 242 3 C1
1 242 3 D4
1 260 3 D5
1 5 4 B3
1 5 4 C4
1 5 4 D1
1 31 4 F3
1 47 4 C2
1 47 4 E1
1 78 4 B2
1 97 4 C1
1 100 4 C5
1 116 4 D5
1 117 4 E2
1 117 4 F1
1 158 4 D4
1 161 4 D4
1 177 4 F2
1 187 4 C1
1 208 4 D1
1 212 4 C2
1 212 4 F1
1 219 4 F6
1 224 4 B6
1 224 4 D6
1 236 4 C4
1 242 4 F1
1 260 4 B3
1 260 4 C4
1 260 4 C5
1 260 4 D2
1 5 5 B3
1 59 5 F1
1 70 5 B4
1 78 5 D2
1 81 5 B2
1 88 5 B1
1 88 5 B2
1 116 5 D5
1 116 5 D6
1 120 5 D2
1 120 5 E3
1 154 5 A4
1 164 5 B4
1 173 5 D5
1 186 5 C1
1 186 5 D1
1 186 5 D2
1 203 5 F1
1 228 5 B5
1 236 5 B4
1 236 5 B5
1 240 5 B1
1 242 5 C1
