x y
2697117 6075605
2697197 6075953
2697260 6076226
2697284 6076351
2697316 6076513
2697359 6076799
2697384 6076954
2697378 6077004
2697353 6077023
2697340 6077060
2697340 6077234
2697359 6077389
2697359 6077514
2697372 6077607
2697384 6077694
2697421 6077763
2697459 6077819
2697483 6077831
2697527 6077843
2697552 6077843
2697564 6077850
2697577 6077887
2697577 6077943
2697595 6078024
2697620 6078098
2697651 6078148
2697689 6078192
2697726 6078235
2697770 6078297
2697801 6078347
2697838 6078403
2697881 6078459
2697919 6078515
2697956 6078552
2697981 6078590
2698018 6078633
2698062 6078652
2698105 6078621
2698149 6078615
2698192 6078627
2698211 6078652
2698242 6078714
2698304 6078727
2698367 6078733
2698423 6078745
2698516 6078764
2698578 6078795
2698628 6078814
2698678 6078826
2698709 6078801
2698721 6078789
2698734 6078770
2698740 6078758
2698721 6078720
2698671 6078708
2698634 6078689
2698671 6078683
2698727 6078664
2698790 6078633
2698833 6078602
2698858 6078577
2698889 6078552
2698914 6078540
2698939 6078534
2698914 6078590
2698920 6078621
2698933 6078646
2698964 6078664
2698995 6078702
2699020 6078727
2699032 6078752
2699069 6078770
2699113 6078770
2699150 6078745
2699200 6078727
2699244 6078708
2699293 6078696
2699343 6078677
2699368 6078658
2699374 6078640
2699374 6078615
2699355 6078584
2699324 6078559
2699293 6078546
2699331 6078534
2699362 6078484
2699399 6078441
2699449 6078397
2699486 6078353
2699530 6078316
2699579 6078273
2699598 6078242
2699592 6078210
2699623 6078179
2699648 6078154
2699666 6078123
2699685 6078080
2699691 6078043
2699660 6077993
2699648 6077943
2699604 6077887
2699561 6077843
2699511 6077775
2699443 6077713
2699405 6077663
2699374 6077620
2699318 6077551
2699281 6077514
2699237 6077452
2699200 6077377
2699194 6077178
2699200 6077066
2699206 6076991
2699212 6076929
2699225 6076855
2699262 6076799
2699306 6076749
2699355 6076712
2699424 6076680
2699480 6076643
2699542 6076612
2699623 6076587
2699691 6076575
2699766 6076569
2699834 6076575
2699915 6076581
2699965 6076575
2700040 6076550
2700127 6076550
2700251 6076513
2700332 6076500
2700438 6076488
2700525 6076444
2700630 6076382
2700730 6076345
2700836 6076320
2700935 6076270
2701022 6076239
2701134 6076170
2701221 6076115
2701271 6076077
2701308 6076015
2701308 6075947
2701265 6075903
2701227 6075860
2701190 6075810
2701165 6075754
2701128 6075692
2701103 6075648
2701084 6075623
2701060 6075605
2697117 6075605
