# Capture histories exported from 'teCH' 
# Sat Jan 14 4:44:04 p.m. 2017 
# Session ID Occasion x y sex 
1 10 1 -83.3 -20.04 2
1 10 2 -57.91 -4.77 2
1 10 3 -112.96 -7.51 2
1 10 4 -77.71 -75.79 2
1 10 5 -85.81 -42.45 2
1 101 1 143.06 170.48 2
1 101 2 99.22 145.49 2
1 101 3 185.34 78.27 2
1 101 4 143.8 160.87 2
1 101 5 150.03 124.94 2
1 102 1 23.43 128.85 2
1 102 2 18.83 100.98 2
1 102 3 -33.88 101.3 2
1 102 4 37.79 56.21 2
1 102 5 -9.51 112.74 2
1 103 1 187.82 178.83 1
1 103 2 151.87 174.16 1
1 103 3 149.96 209.65 1
1 103 4 163.8 196.47 1
1 103 5 170.31 194.8 1
1 104 1 48.35 42.09 1
1 104 2 12.22 42.2 1
1 104 3 46.91 23.73 1
1 104 4 30.85 36.64 1
1 104 5 5.11 -7.57 1
1 106 1 155.01 213.28 2
1 106 2 115.85 174.73 2
1 106 3 158.27 235.51 2
1 106 4 129.78 211.43 2
1 106 5 174.36 201.66 2
1 107 1 122.95 -67.19 1
1 107 2 120.74 -46.34 1
1 107 3 113.11 -45.46 1
1 107 4 117.96 -59.87 1
1 107 5 127.37 -46.25 1
1 108 1 162.66 169.83 2
1 108 2 171.12 156.58 2
1 108 3 183.86 153.91 2
1 108 4 192.78 134.64 2
1 108 5 179.46 156.67 2
1 109 1 -60.05 102.09 1
1 109 2 -25.21 119.08 1
1 109 3 -41.26 141.46 1
1 109 4 -43.4 75.57 1
1 109 5 -31.77 94.17 1
1 11 1 66.84 89.61 2
1 11 2 77.59 83 2
1 11 3 51.05 71.89 2
1 11 4 -3.81 94.86 2
1 11 5 107.98 108.21 2
1 112 1 -34.3 180.92 1
1 112 2 -32.68 179.69 1
1 112 3 -10.86 215.97 1
1 112 4 -1.71 191.01 1
1 112 5 -40.94 178.27 1
1 113 1 112.4 165.44 1
1 113 2 171.58 208.9 1
1 113 3 153.42 253.89 1
1 113 4 159.42 188.29 1
1 113 5 185.71 214.36 1
1 118 1 37.34 145.25 2
1 118 2 28.67 99.62 2
1 118 3 80.97 115 2
1 118 4 31.19 104.92 2
1 118 5 100.53 138.93 2
1 119 1 207.72 -16.33 2
1 119 2 211.69 25.13 2
1 119 3 155.26 15.6 2
1 119 4 190.17 36.54 2
1 119 5 144.81 41.84 2
1 12 1 -62.81 -35.19 1
1 12 2 -93.28 -32.52 1
1 12 3 -42.63 -88.3 1
1 12 4 -82.94 -105.21 1
1 12 5 -73.89 -100.1 1
1 120 1 -78.88 -69.47 1
1 120 2 -11.34 -49.69 1
1 120 3 -32.04 24.84 1
1 120 4 -20.05 -60.17 1
1 120 5 -65.88 -36.4 1
1 121 1 -102.39 -85.92 1
1 121 2 -88.2 -108.53 1
1 121 3 -102.13 -42.81 1
1 121 4 -109.21 -117.56 1
1 121 5 -80.4 -80.87 1
1 123 1 190.29 82.93 1
1 123 2 162.12 161.99 1
1 123 3 181.6 101.28 1
1 123 4 189.8 109.17 1
1 123 5 168.03 115.91 1
1 125 1 -0.93 68.68 1
1 125 2 -18.97 95.5 1
1 125 3 -47.84 67.19 1
1 125 4 -48.94 122.14 1
1 125 5 -14.26 116.95 1
1 126 1 19.24 110.72 1
1 126 2 2.17 142.6 1
1 126 3 47.73 120.71 1
1 126 4 0.6 149.38 1
1 126 5 46.85 133.27 1
1 133 1 27.84 121.76 1
1 133 2 9.03 127.51 1
1 133 3 -9.2 165.58 1
1 133 4 38.1 101.57 1
1 133 5 21.75 99.2 1
1 135 1 180.58 23.66 2
1 135 2 170.37 16.71 2
1 135 3 156.64 40.93 2
1 135 4 179.26 30.6 2
1 135 5 264.66 43.59 2
1 136 1 -50.93 -31.38 1
1 136 2 -80.33 -1.84 1
1 136 3 -52.02 -32.87 1
1 136 4 -47.01 -35.54 1
1 136 5 -3.55 46.67 1
1 138 1 -42.48 227.26 1
1 138 2 7.6 191.98 1
1 138 3 46.06 169.39 1
1 138 4 28.49 166 1
1 138 5 18 181.73 1
1 139 1 66.72 -89.9 1
1 139 2 -33.75 -91.42 1
1 139 3 -13.47 -33.9 1
1 139 4 3.84 -53.76 1
1 139 5 4.54 -70.79 1
1 14 1 102.34 -4.3 2
1 14 2 90.63 37.23 2
1 14 3 126.2 42.41 2
1 14 4 113.25 49.71 2
1 14 5 155.01 15.68 2
1 141 1 -32.04 168.73 2
1 141 2 -16.6 163.02 2
1 141 3 -11.74 123.19 2
1 141 4 -28.03 141.58 2
1 141 5 -6.49 129.85 2
1 143 1 75.98 -65.21 2
1 143 2 61.05 -32.66 2
1 143 3 126.89 -90.41 2
1 143 4 52.35 -42.81 2
1 143 5 104.81 -51.63 2
1 148 1 41.75 75.68 1
1 148 2 68.35 86.9 1
1 148 3 97.66 137.64 1
1 148 4 94.09 108.21 1
1 148 5 69.71 120.3 1
1 149 1 -41.98 52.45 1
1 149 2 -83.13 103.98 1
1 149 3 -95.26 26.64 1
1 149 4 -95.11 95.75 1
1 149 5 -44.85 57.73 1
1 150 1 -119.59 115.68 1
1 150 2 -75.77 139.97 1
1 150 3 -90.36 134.97 1
1 150 4 -95.18 118.92 1
1 150 5 -80.36 63.96 1
1 155 1 100.61 43.61 2
1 155 2 41.14 40.82 2
1 155 3 57.37 31.41 2
1 155 4 54.25 78.59 2
1 155 5 71.59 64.52 2
1 157 1 109.59 -83.43 2
1 157 2 41.85 -121.7 2
1 157 3 92.89 -123.2 2
1 157 4 116.83 -125.1 2
1 157 5 75.41 -88.04 2
1 159 1 -43.08 16.15 2
1 159 2 -83.58 30.9 2
1 159 3 -44.29 29.54 2
1 159 4 -68.41 116.43 2
1 159 5 -68.27 56.12 2
1 16 1 15.05 1.69 2
1 16 2 11.8 51 2
1 16 3 4.53 -30.91 2
1 16 4 20.51 -2.94 2
1 16 5 32.8 -36.43 2
1 160 1 112.6 113.74 2
1 160 2 123.88 128.2 2
1 160 3 166.3 96.8 2
1 160 4 147.75 78.59 2
1 160 5 218.48 121.33 2
1 163 1 82.74 27.97 2
1 163 2 99.85 64.75 2
1 163 3 42.05 20.37 2
1 163 4 71.48 36.37 2
1 163 5 52.96 18.21 2
1 167 1 -8.37 55.68 1
1 167 2 -14.84 65.03 1
1 167 3 -27.07 54.29 1
1 167 4 -62.34 83.82 1
1 167 5 16.59 74.52 1
1 168 1 97.59 159.74 1
1 168 2 78.96 184.32 1
1 168 3 96.8 159.9 1
1 168 4 129.15 242.93 1
1 168 5 93.8 170.94 1
1 170 1 40.32 212.48 2
1 170 2 53 177.58 2
1 170 3 4.75 118.78 2
1 170 4 50.02 164.61 2
1 170 5 45.66 161.78 2
1 171 1 5.06 122.43 2
1 171 2 -26.17 111.24 2
1 171 3 -27.85 141.92 2
1 171 4 53.71 141.91 2
1 171 5 15.87 152.67 2
1 18 1 151.83 90.76 1
1 18 2 166.31 153.47 1
1 18 3 204.47 127.43 1
1 18 4 185.84 146.1 1
1 18 5 175.75 73.59 1
1 19 1 43.67 1.25 2
1 19 2 73.49 -5.75 2
1 19 3 81.74 24.62 2
1 19 4 90.14 41.74 2
1 19 5 53 10.7 2
1 20 1 -1.43 60.01 2
1 20 2 -35.77 42.33 2
1 20 3 -60.18 62.65 2
1 20 4 -21.58 53.38 2
1 20 5 -3.43 95.91 2
1 26 1 152.86 -79.79 2
1 26 2 171.52 -52.54 2
1 26 3 161.46 -95.58 2
1 26 4 154.06 -115.11 2
1 26 5 170.86 -94.11 2
1 27 1 62.7 145.31 2
1 27 2 78.72 106.58 2
1 27 3 115.95 133.41 2
1 27 4 139.88 108.08 2
1 27 5 122.79 100.72 2
1 31 1 91.67 -45.55 1
1 31 2 94.45 -46.91 1
1 31 3 114.97 -60.07 1
1 31 4 107.78 -73.37 1
1 31 5 88.08 -46.14 1
1 32 1 -38.06 41.92 1
1 32 2 -60.48 67.63 1
1 32 3 -82.72 65.52 1
1 32 4 -42.38 61.73 1
1 32 5 -59.5 4.27 1
1 36 1 175.86 -68.13 2
1 36 2 134.31 -60.44 2
1 36 3 170.54 -54.18 2
1 36 4 200.11 -56.32 2
1 36 5 232.18 -90.4 2
1 38 1 76.94 -52.95 2
1 38 2 66.72 -117.76 2
1 38 3 45.43 -59.34 2
1 38 4 35.11 -58 2
1 38 5 39.12 -89.08 2
1 39 1 -86.65 140.18 2
1 39 2 -96.2 164.1 2
1 39 3 -80.4 192.61 2
1 39 4 -77.62 168.5 2
1 39 5 -59.97 133.68 2
1 4 1 -72.18 24.9 1
1 4 2 -43.06 70.51 1
1 4 3 -8.57 85.03 1
1 4 4 12.3 62.95 1
1 4 5 -58.75 34.93 1
1 41 1 45.14 91.76 1
1 41 2 36.87 95.87 1
1 41 3 1.48 96.93 1
1 41 4 34.63 126.16 1
1 41 5 23.87 92.49 1
1 47 1 123.25 47.49 1
1 47 2 58.03 20.81 1
1 47 3 142.63 92.51 1
1 47 4 93.64 65.62 1
1 47 5 58.42 58.99 1
1 50 1 39.93 123.7 1
1 50 2 101.67 149.39 1
1 50 3 53.15 153.99 1
1 50 4 75.69 122.13 1
1 50 5 47.26 175.77 1
1 51 1 131.05 76.73 2
1 51 2 76.18 108.35 2
1 51 3 104.68 85.33 2
1 51 4 120.96 74.6 2
1 51 5 121 42.57 2
1 52 1 57.99 -91.76 1
1 52 2 -9.45 -63.65 1
1 52 3 21.57 -50.14 1
1 52 4 5.81 -74.83 1
1 52 5 9.44 -83.88 1
1 53 1 184.41 28.5 1
1 53 2 207.37 40.33 1
1 53 3 223.9 18.71 1
1 53 4 186.07 39.72 1
1 53 5 197.61 53.08 1
1 55 1 79.65 -12.56 2
1 55 2 149.64 -45.09 2
1 55 3 109.84 21.75 2
1 55 4 81.93 -36.43 2
1 55 5 144.44 -77.18 2
1 56 1 207.25 174.38 1
1 56 2 219.08 202.2 1
1 56 3 163.11 212.16 1
1 56 4 197.12 181.94 1
1 56 5 223.46 172.52 1
1 59 1 100.04 -46.02 1
1 59 2 109.81 -30.17 1
1 59 3 109.7 -63.67 1
1 59 4 120.27 -33.21 1
1 59 5 109.31 -77.4 1
1 60 1 213.24 96.13 2
1 60 2 170.84 113.53 2
1 60 3 171.53 79.45 2
1 60 4 148.18 98.06 2
1 60 5 203.94 95.63 2
1 62 1 219.69 172.48 1
1 62 2 212.26 127.97 1
1 62 3 192.83 185.06 1
1 62 4 210.36 154.95 1
1 62 5 183.32 135.07 1
1 64 1 77.02 23.38 1
1 64 2 39.24 38.82 1
1 64 3 77.44 16.86 1
1 64 4 101.05 40.59 1
1 64 5 139.22 20.63 1
1 65 1 -93.06 40.37 2
1 65 2 -49.13 41.19 2
1 65 3 -96.2 51.28 2
1 65 4 -55.99 39.6 2
1 65 5 -60.27 59.03 2
1 67 1 -27.78 176.06 2
1 67 2 -98.95 144.32 2
1 67 3 -70.17 171.2 2
1 67 4 -77.19 150.92 2
1 67 5 -58.83 204.46 2
1 69 1 42.04 160.56 2
1 69 2 40.05 115.87 2
1 69 3 48.39 172.25 2
1 69 4 4.59 188.51 2
1 69 5 52.59 172.58 2
