# Capture histories exported from 'signalCH' 
# Sat Sep 05 9:30:25 a.m. 2020 
# Session ID Occasion Detector Signal 
1 1055A 1 1 51.0051
1 1055A 1 2 63.751
1 1055A 1 3 68.5872
1 1055A 1 4 70.2952
1 1055B 1 1 57.0031
1 1055B 1 2 49.0318
1 1055B 1 3 75.999
1 1055B 1 4 48.1873
1 1055D 1 1 66.9782
1 1055D 1 2 64.9731
1 1055D 1 3 51.9873
1 1055D 1 4 52.4315
1 1155A 1 1 66.3306
1 1155A 1 2 66.0712
1 1155A 1 3 48.2019
1 1155A 1 4 48.0969
1 1155B 1 1 49.9922
1 1155B 1 2 53.3386
1 1155B 1 3 61.2715
1 1155B 1 4 65.2223
1 1250A 1 1 45.9613
1 1250A 1 2 50.4822
1 1250A 1 3 64.2158
1 1250A 1 4 57.097
1 1250B 1 1 56.8067
1 1250B 1 2 43.9114
1 1250B 1 3 51.3491
1 1250B 1 4 56.3545
1 1250C 1 1 66.545
1 1250C 1 2 52.3097
1 1250C 1 3 55.1496
1 1250C 1 4 50.4776
1 1255A 1 1 61.9277
1 1255A 1 2 60.8467
1 1255A 1 3 50.4156
1 1255A 1 4 59.5396
1 1255B 1 1 54.9692
1 1255B 1 2 55.392
1 1255B 1 3 53.0831
1 1255B 1 4 58.6703
1 1350B 1 1 47.7383
1 1350B 1 2 61.229
1 1350B 1 3 39.5977
1 1350B 1 4 54.7886
1 1355C 1 1 51.7299
1 1355C 1 2 50.0768
1 1355C 1 3 49.8051
1 1355C 1 4 53.7534
1 1450A 1 1 55.4588
1 1450A 1 2 51.911
1 1450A 1 3 49.269
1 1450A 1 4 49.1757
1 1450B 1 1 63.0387
1 1450B 1 2 56.3676
1 1450B 1 3 50.7149
1 1450B 1 4 74.8075
1 1455A 1 1 55.8599
1 1455A 1 2 46.3146
1 1455A 1 3 53.5347
1 1455A 1 4 57.9301
1 1550A 1 1 52.8918
1 1550A 1 2 51.7442
1 1550A 1 3 65.1621
1 1550A 1 4 54.0116
1 1555A 1 1 54.0458
1 1555A 1 2 61.415
1 1555A 1 3 61.1034
1 1555A 1 4 51.9665
1 1555B 1 1 47.1184
1 1555B 1 2 45.6165
1 1555B 1 3 51.6899
1 1555B 1 4 60.3246
1 1650A 1 1 50.5966
1 1650A 1 2 66.4122
1 1650A 1 3 52.178
1 1650A 1 4 52.1908
1 1650B 1 1 47.658
1 1650B 1 2 57.0729
1 1650B 1 3 66.39
1 1650B 1 4 63.5611
1 2005A 1 1 53.622
1 2005A 1 2 46.3473
1 2005A 1 3 70.2859
1 2005A 1 4 44.2927
1 2005B 1 1 66.1747
1 2005B 1 2 63.4719
1 2005B 1 3 56.8886
1 2005B 1 4 50.8097
1 2105A 1 1 60.4236
1 2105A 1 2 60.1654
1 2105A 1 3 42.8794
1 2105A 1 4 48.9509
1 2205A 1 1 51.4887
1 2205A 1 2 56.3831
1 2205A 1 3 60.9278
1 2205A 1 4 68.3545
1 2305A 1 1 52.203
1 2305A 1 2 54.5554
1 2305A 1 3 51.7638
1 2305A 1 4 54.0768
1 2355A 1 1 58.3356
1 2355A 1 2 41.9879
1 2355A 1 3 48.5386
1 2355A 1 4 51.0383
1 2405B 1 1 60.5431
1 2405B 1 2 51.8701
1 2405B 1 3 52.8622
1 2405B 1 4 50.9509
1 2455A 1 1 61.1491
1 2455A 1 2 59.1312
1 2455A 1 3 50.9701
1 2455A 1 4 53.1506
1 2505A 1 1 51.7509
1 2505A 1 2 55.7042
1 2505A 1 3 53.7335
1 2505A 1 4 56.3707
1 2505B 1 1 49.2229
1 2505B 1 2 70.5978
1 2505B 1 3 45.1601
1 2505B 1 4 59.2895
1 2505C 1 1 51.822
1 2505C 1 2 44.5765
1 2505C 1 3 52.2394
1 2505C 1 4 57.5426
1 2550B 1 1 57.1361
1 2550B 1 2 52.1222
1 2550B 1 3 50.9453
1 2550B 1 4 49.2185
1 2555B 1 1 58.9935
1 2555B 1 2 56.1522
1 2555B 1 3 53.5396
1 2555B 1 4 72.9425
1 2650A 1 1 54.7286
1 2650A 1 2 52.3252
1 2650A 1 3 54.7276
1 2650A 1 4 53.0107
1 2655A 1 1 57.613
1 2655A 1 2 53.1655
1 2655A 1 3 61.068
1 2655A 1 4 61.4414
1 2655B 1 1 54.7442
1 2655B 1 2 68.2308
1 2655B 1 3 61.6923
1 2655B 1 4 45.4541
1 2750A 1 1 49.3678
1 2750A 1 2 48.7604
1 2750A 1 3 55.0105
1 2750A 1 4 55.9946
1 3100A 1 1 44.1355
1 3100A 1 2 69.2629
1 3100A 1 3 50.4176
1 3100A 1 4 50.149
1 3100B 1 1 45.8613
1 3100B 1 2 56.2655
1 3100B 1 3 74.3953
1 3100B 1 4 67.6761
1 3150A 1 1 52.4707
1 3150A 1 2 46.9021
1 3150A 1 3 67.2819
1 3150A 1 4 44.3765
1 3200A 1 1 60.3607
1 3200A 1 2 57.6194
1 3200A 1 3 53.2356
1 3200A 1 4 52.466
1 3200B 1 1 57.8734
